"Step","swept-water-137 - train-loss","swept-water-137 - train-loss__MIN","swept-water-137 - train-loss__MAX"
"0","0.9696608781814576","0.9696608781814576","0.9696608781814576"
"1","0.6578831672668457","0.6578831672668457","0.6578831672668457"
"2","0.5241754055023193","0.5241754055023193","0.5241754055023193"
"3","0.4803231656551361","0.4803231656551361","0.4803231656551361"
"4","0.4569013714790344","0.4569013714790344","0.4569013714790344"
"5","0.44212260842323303","0.44212260842323303","0.44212260842323303"
"6","0.4299918115139008","0.4299918115139008","0.4299918115139008"
"7","0.4225444495677948","0.4225444495677948","0.4225444495677948"
"8","0.4146519899368286","0.4146519899368286","0.4146519899368286"
"9","0.4068622291088104","0.4068622291088104","0.4068622291088104"
"10","0.40229660272598267","0.40229660272598267","0.40229660272598267"
"11","0.3968402147293091","0.3968402147293091","0.3968402147293091"
"12","0.3914283514022827","0.3914283514022827","0.3914283514022827"
"13","0.3876745104789734","0.3876745104789734","0.3876745104789734"
"14","0.3836464285850525","0.3836464285850525","0.3836464285850525"
"15","0.3776153028011322","0.3776153028011322","0.3776153028011322"
"16","0.375313937664032","0.375313937664032","0.375313937664032"
"17","0.37143900990486145","0.37143900990486145","0.37143900990486145"
"18","0.369973361492157","0.369973361492157","0.369973361492157"
"19","0.36572808027267456","0.36572808027267456","0.36572808027267456"
"20","0.3627273440361023","0.3627273440361023","0.3627273440361023"
"21","0.36010387539863586","0.36010387539863586","0.36010387539863586"
"22","0.3546488285064697","0.3546488285064697","0.3546488285064697"
"23","0.3530355989933014","0.3530355989933014","0.3530355989933014"
"24","0.34999075531959534","0.34999075531959534","0.34999075531959534"
"25","0.3469161093235016","0.3469161093235016","0.3469161093235016"
"26","0.34750545024871826","0.34750545024871826","0.34750545024871826"
"27","0.34410643577575684","0.34410643577575684","0.34410643577575684"
"28","0.3428425192832947","0.3428425192832947","0.3428425192832947"
"29","0.34199148416519165","0.34199148416519165","0.34199148416519165"
"30","0.33718472719192505","0.33718472719192505","0.33718472719192505"
"31","0.33479028940200806","0.33479028940200806","0.33479028940200806"
"32","0.3316240608692169","0.3316240608692169","0.3316240608692169"
"33","0.33110785484313965","0.33110785484313965","0.33110785484313965"
"34","0.32895952463150024","0.32895952463150024","0.32895952463150024"
"35","0.3282071352005005","0.3282071352005005","0.3282071352005005"
"36","0.32661014795303345","0.32661014795303345","0.32661014795303345"
"37","0.32526400685310364","0.32526400685310364","0.32526400685310364"
"38","0.32277241349220276","0.32277241349220276","0.32277241349220276"
"39","0.3223963975906372","0.3223963975906372","0.3223963975906372"
"40","0.316878080368042","0.316878080368042","0.316878080368042"
"41","0.3183620274066925","0.3183620274066925","0.3183620274066925"
"42","0.3160594403743744","0.3160594403743744","0.3160594403743744"
"43","0.3147931396961212","0.3147931396961212","0.3147931396961212"
"44","0.31101977825164795","0.31101977825164795","0.31101977825164795"
"45","0.3109680712223053","0.3109680712223053","0.3109680712223053"
"46","0.3104272484779358","0.3104272484779358","0.3104272484779358"
"47","0.3104724586009979","0.3104724586009979","0.3104724586009979"
"48","0.30474528670310974","0.30474528670310974","0.30474528670310974"
"49","0.3059563636779785","0.3059563636779785","0.3059563636779785"
"50","0.30691805481910706","0.30691805481910706","0.30691805481910706"
"51","0.3044382929801941","0.3044382929801941","0.3044382929801941"
"52","0.30272287130355835","0.30272287130355835","0.30272287130355835"
"53","0.2996046543121338","0.2996046543121338","0.2996046543121338"
